radius_m,distance_m,fs_hz,theta_deg,actual_rounding_shift_deg,corner_bound_deg,disk_bound_deg,linear_bound_deg,rho_over_u
0.025,0.5,16000,-68.87,8.226804914154627,32.982456815279704,35.101773661655194,32.60778251094201,0.5750305786032541
0.025,0.5,16000,-68.37,7.718783135815812,32.821277268100744,35.08978401069188,32.6385804262192,0.5748593646412857
0.025,0.5,16000,-67.87,7.21121465000769,32.653996273043134,35.077658992740474,32.666644994731755,0.5746861920184468
0.025,0.5,16000,-67.37,6.704104312285466,32.48053853323057,35.0654073472249,32.69198879653509,0.5745111847270975
0.025,0.5,16000,-66.87,6.1974566462436655,32.300829088243574,35.05303787746229,32.71462487298299,0.5743344677391266
0.025,0.5,16000,-66.37,5.691275841425778,32.114793388029796,35.04055944355708,32.734566705274986,0.5741561669069312
0.025,0.5,16000,-65.87,5.185565751504811,31.92235737166493,35.027980955331564,32.75182819281925,0.5739764088647052
0.025,0.5,16000,-65.37,4.680329892737575,31.723447551183256,35.01531136529621,32.76642363144118,0.5737953209300738
0.025,0.5,16000,-64.87,4.175571442687044,31.517991100701494,35.00255966166706,32.77836769147224,0.573613031006179
0.025,0.5,16000,-64.37,3.671293239210513,31.30591595106273,34.989734861440034,32.78767539575446,0.5734296674843511
0.025,0.5,16000,-63.870000000000005,3.1674977797142105,31.087150890217288,34.97684600352382,32.794362097589186,0.5732453591473865
0.025,0.5,16000,-63.370000000000005,2.664187220665923,30.861625669561533,34.96390214194146,32.79844345866583,0.5730602350735771
0.025,0.5,16000,-62.870000000000005,2.161363377368559,30.62927111644575,34.95091233910412,32.799935426999376,0.572874424541536
0.025,0.5,16000,-62.370000000000005,1.6590277239849058,30.390019253057005,34.937885659163705,32.79885421490889,0.5726880569359193
0.025,0.5,16000,-61.870000000000005,1.1571813938152786,30.14380342187323,34.924831161448424,32.79521627706542,0.5725012616540975
0.025,0.5,16000,-61.370000000000005,0.6558251798209653,29.944103608336945,34.91175789398725,32.78903828863939,0.5723141680138668
0.025,0.5,16000,-60.870000000000005,0.15495953539050333,29.81320311761931,34.89867488712748,32.780337123575535,0.5721269051622594
0.025,0.5,16000,-60.370000000000005,0.3454154246548171,29.851860649361896,34.88559114724927,32.769129833022106,0.5719396019855111
