x,y,t
1.3000000000,-1.6500000000,0.0000902107
1.3000000000,-1.6000000000,0.0000919191
1.3000000000,-1.5500000000,0.0000936711
1.3000000000,-1.5000000000,0.0000954666
1.3000000000,-1.4500000000,0.0000973053
1.3000000000,-1.4000000000,0.0000991866
1.3000000000,-1.3500000000,0.0001011093
1.3000000000,-1.3000000000,0.0001030720
1.3000000000,-1.2500000000,0.0001050729
1.3000000000,-1.2000000000,0.0001071093
1.3000000000,-1.1500000000,0.0001091782
1.3000000000,-1.1000000000,0.0001112758
1.3000000000,-1.0500000000,0.0001133975
1.3000000000,-1.0000000000,0.0001155379
1.3000000000,-0.9500000000,0.0001176906
1.3000000000,-0.9000000000,0.0001198482
1.3000000000,-0.8500000000,0.0001220025
1.3000000000,-0.8000000000,0.0001241439
1.3000000000,-0.7500000000,0.0001262617
1.3000000000,-0.7000000000,0.0001283444
1.3000000000,-0.6500000000,0.0001303791
1.3000000000,-0.6000000000,0.0001323521
1.3000000000,-0.5500000000,0.0001342486
1.3000000000,-0.5000000000,0.0001360534
1.3000000000,-0.4500000000,0.0001377506
1.3000000000,-0.4000000000,0.0001393244
1.3000000000,-0.3500000000,0.0001407587
1.3000000000,-0.3000000000,0.0001420383
1.3000000000,-0.2500000000,0.0001431487
1.3000000000,-0.2000000000,0.0001440769
1.3000000000,-0.1500000000,0.0001448115
1.3000000000,-0.1000000000,0.0001453431
1.3000000000,-0.0500000000,0.0001456649
1.3000000000,-0.0000000000,0.0001457726
1.3500000000,-3.0000000000,0.0000598185
1.3500000000,-2.9500000000,0.0000606580
1.3500000000,-2.9000000000,0.0000615188
1.3500000000,-2.8500000000,0.0000624017
1.3500000000,-2.8000000000,0.0000633073
1.3500000000,-2.7500000000,0.0000642364
1.3500000000,-2.7000000000,0.0000651897
1.3500000000,-2.6500000000,0.0000661681
1.3500000000,-2.6000000000,0.0000671723
1.3500000000,-2.5500000000,0.0000682032
1.3500000000,-2.5000000000,0.0000692616
1.3500000000,-2.4500000000,0.0000703484
1.3500000000,-2.4000000000,0.0000714644
1.3500000000,-2.3500000000,0.0000726106
1.3500000000,-2.3000000000,0.0000737878
1.3500000000,-2.2500000000,0.0000749969
1.3500000000,-2.2000000000,0.0000762388
1.3500000000,-2.1500000000,0.0000775145
1.3500000000,-2.1000000000,0.0000788248
1.3500000000,-2.0500000000,0.0000801707
1.3500000000,-2.0000000000,0.0000815528
1.3500000000,-1.9500000000,0.0000829721
1.3500000000,-1.9000000000,0.0000844293
1.3500000000,-1.8500000000,0.0000859251
1.3500000000,-1.8000000000,0.0000874601
1.3500000000,-1.7500000000,0.0000890348
1.3500000000,-1.7000000000,0.0000906497
1.3500000000,-1.6500000000,0.0000923049
1.3500000000,-1.6000000000,0.0000940006
1.3500000000,-1.5500000000,0.0000957366
1.3500000000,-1.5000000000,0.0000975126
1.3500000000,-1.4500000000,0.0000993279
1.3500000000,-1.4000000000,0.0001011816
1.3500000000,-1.3500000000,0.0001030724
1.3500000000,-1.3000000000,0.0001049985
1.3500000000,-1.2500000000,0.0001069576
1.3500000000,-1.2000000000,0.0001089472
1.3500000000,-1.1500000000,0.0001109638
1.3500000000,-1.1000000000,0.0001130034
1.3500000000,-1.0500000000,0.0001150613
1.3500000000,-1.0000000000,0.0001171320
1.3500000000,-0.9500000000,0.0001192092
1.3500000000,-0.9000000000,0.0001212857
1.3500000000,-0.8500000000,0.0001233533
1.3500000000,-0.8000000000,0.0001254028
1.3500000000,-0.7500000000,0.0001274242
1.3500000000,-0.7000000000,0.0001294066
1.3500000000,-0.6500000000,0.0001313379
1.3500000000,-0.6000000000,0.0001332055
1.3500000000,-0.5500000000,0.0001349961
1.3500000000,-0.5000000000,0.0001366956
1.3500000000,-0.4500000000,0.0001382899
1.3500000000,-0.4000000000,0.0001397647
1.3500000000,-0.3500000000,0.0001411060
1.3500000000,-0.3000000000,0.0001423002
1.3500000000,-0.2500000000,0.0001433348
1.3500000000,-0.2000000000,0.0001441982
1.3500000000,-0.1500000000,0.0001448807
1.3500000000,-0.1000000000,0.0001453742
1.3500000000,-0.0500000000,0.0001456727
1.3500000000,-0.0000000000,0.0001457726
1.4000000000,-3.0000000000,0.0000616437
1.4000000000,-2.9500000000,0.0000624977
1.4000000000,-2.9000000000,0.0000633730
1.4000000000,-2.8500000000,0.0000642701
1.4000000000,-2.8000000000,0.0000651898
1.4000000000,-2.7500000000,0.0000661328
1.4000000000,-2.7000000000,0.0000670998
1.4000000000,-2.6500000000,0.0000680916
1.4000000000,-2.6000000000,0.0000691088
1.4000000000,-2.5500000000,0.0000701524
1.4000000000,-2.5000000000,0.0000712229
1.4000000000,-2.4500000000,0.0000723213
1.4000000000,-2.4000000000,0.0000734484
1.4000000000,-2.3500000000,0.0000746049
1.4000000000,-2.3000000000,0.0000757916
1.4000000000,-2.2500000000,0.0000770095
1.4000000000,-2.2000000000,0.0000782592
1.4000000000,-2.1500000000,0.0000795415
1.4000000000,-2.1000000000,0.0000808573
1.4000000000,-2.0500000000,0.0000822073
1.4000000000,-2.0000000000,0.0000835922
1.4000000000,-1.9500000000,0.0000850125
1.4000000000,-1.9000000000,0.0000864690
1.4000000000,-1.8500000000,0.0000879622
1.4000000000,-1.8000000000,0.0000894924
