radius_m,distance_m,fs_hz,truth_deg,exact_estimate_deg,rounded_estimate_deg,exact_signed_error_deg,rounded_signed_error_deg
0.025,0.5,16000,-102.37,-102.80596380434112,-90.00000000000001,-0.4359638043410996,12.370000000000005
0.025,0.5,16000,-101.87,-102.29081293941957,-90.00000000000001,-0.4208129394195623,11.870000000000005
0.025,0.5,16000,-101.37,-101.77536480604813,-90.00000000000001,-0.4053648060481123,11.370000000000005
0.025,0.5,16000,-100.87,-101.25963015344068,-90.00000000000001,-0.38963015344069163,10.870000000000005
0.025,0.5,16000,-100.37,-100.74361995172839,-90.00000000000001,-0.37361995172838647,10.370000000000005
0.025,0.5,16000,-99.87,-100.22734538394306,-90.00000000000001,-0.3573453839430556,9.870000000000005
0.025,0.5,16000,-99.37,-99.71081783778305,-90.00000000000001,-0.3408178377830495,9.370000000000005
0.025,0.5,16000,-98.87,-99.19404889716965,-90.00000000000001,-0.32404889716963226,8.870000000000005
0.025,0.5,16000,-98.37,-98.67705033360369,-90.00000000000001,-0.3070503336036836,8.370000000000005
0.025,0.5,16000,-97.87,-98.15983409732549,-90.00000000000001,-0.2898340973254676,7.8700000000000045
0.025,0.5,16000,-97.37,-97.64241230829222,-90.00000000000001,-0.27241230829221763,7.3700000000000045
0.025,0.5,16000,-96.87,-97.12479724697585,-90.00000000000001,-0.2547972469758406,6.8700000000000045
0.025,0.5,16000,-96.37,-96.6070013449939,-90.00000000000001,-0.23700134499389947,6.3700000000000045
0.025,0.5,16000,-95.87,-96.08903717558148,-90.00000000000001,-0.21903717558149083,5.8700000000000045
0.025,0.5,16000,-95.37,-95.57091744391278,-90.00000000000001,-0.2009174439127719,5.3700000000000045
0.025,0.5,16000,-94.87,-95.05265497728332,-90.00000000000001,-0.18265497728333457,4.8700000000000045
0.025,0.5,16000,-94.37,-94.53426271516206,-90.00000000000001,-0.16426271516206725,4.3700000000000045
0.025,0.5,16000,-93.87,-94.01575369912342,-90.00000000000001,-0.14575369912341785,3.8700000000000045
0.025,0.5,16000,-93.37,-93.49714106267132,-90.00000000000001,-0.12714106267131342,3.3700000000000045
0.025,0.5,16000,-92.87,-92.97843802096263,-90.00000000000001,-0.10843802096263744,2.8700000000000045
0.025,0.5,16000,-92.37,-92.45965786044461,-90.00000000000001,-0.08965786044461765,2.3700000000000045
0.025,0.5,16000,-91.87,-91.9408139284143,-90.00000000000001,-0.07081392841428169,1.8700000000000045
0.025,0.5,16000,-91.37,-91.4219196225133,-90.00000000000001,-0.05191962251331006,1.3700000000000045
0.025,0.5,16000,-90.87,-90.90298838016683,-90.00000000000001,-0.03298838016684158,0.8700000000000045
0.025,0.5,16000,-90.37,-90.38403366798107,-90.00000000000001,-0.01403366798106731,0.37000000000000455
0.025,0.5,16000,-89.87,-89.86506897110785,-90.00000000000001,0.004931028892144695,-0.12999999999999545
0.025,0.5,16000,-89.37,-89.34610778258975,-90.00000000000001,0.02389221741026404,-0.6299999999999955
0.025,0.5,16000,-88.87,-88.82716359269719,-90.00000000000001,0.042836407302814905,-1.1299999999999955
0.025,0.5,16000,-88.37,-88.30824987826665,-90.00000000000001,0.061750121733354035,-1.6299999999999955
0.025,0.5,16000,-87.87,-87.78938009205575,-90.00000000000001,0.08061990794425355,-2.1299999999999955
0.025,0.5,16000,-87.37,-87.27056765212302,-90.00000000000001,0.0994323478769843,-2.6299999999999955
0.025,0.5,16000,-86.87,-86.75182593124573,-90.00000000000001,0.1181740687542856,-3.1299999999999955
0.025,0.5,16000,-86.37,-86.2331682463863,-90.00000000000001,0.1368317536137056,-3.6299999999999955
