fs_hz,seed,truth_deg,interp,difference_from_64_deg,oracle_error_deg
96000,29,217.37,32,2.4634630335640395e-08,-0.1781733332645672
96000,29,217.37,64,0.0,-0.17817335789919753
96000,29,247.37,8,-2.0264601516828407e-06,-0.4433231364615722
96000,29,247.37,16,-5.8713339967653155e-08,-0.44332116871476046
96000,29,247.37,32,-2.5672193260106724e-08,-0.44332113567361375
96000,29,247.37,64,0.0,-0.4433211100014205
96000,29,277.37,8,-7.355917546192359e-07,0.18093580637366813
96000,29,277.37,16,6.357385018418427e-08,0.18093660553927293
96000,29,277.37,32,-1.355425638394081e-08,0.18093652841116636
96000,29,277.37,64,0.0,0.18093654196542275
96000,29,307.37,8,-4.35706823509463e-07,0.44055903502322735
96000,29,307.37,16,-2.014146502915537e-07,0.44055926931537215
96000,29,307.37,32,-9.9825570032408e-09,0.4405594607475223
96000,29,307.37,64,0.0,0.4405594707300793
96000,29,337.37,8,-1.4110015342794213e-06,-0.17817476890166972
96000,29,337.37,16,1.4918941815267317e-07,-0.1781732087107457
96000,29,337.37,32,2.4636108264530776e-08,-0.1781733332640556
96000,29,337.37,64,0.0,-0.17817335790010702
192000,11,7.37,8,-4.9285176828561816e-08,-0.44448234065814063
192000,11,7.37,16,-2.498177309462335e-08,-0.4444823163547369
192000,11,7.37,32,5.7335114433954e-10,-0.44448229079961266
192000,11,7.37,64,0.0,-0.4444822913729638
192000,11,37.37,8,3.464344899839489e-08,0.1814132601390952
192000,11,37.37,16,-1.7098813032134785e-08,0.1814132083968616
192000,11,37.37,32,-3.5475977711030282e-09,0.18141322194804843
192000,11,37.37,64,0.0,0.1814132254956462
192000,11,67.37,8,-1.936817852765671e-07,0.4417024342485547
192000,11,67.37,16,-4.699529654317303e-09,0.44170262323081033
192000,11,67.37,32,4.002629339083796e-09,0.4417026319329693
192000,11,67.37,64,0.0,0.44170262793034
192000,11,97.37,8,1.4499792655442434e-07,-0.1786331361817588
192000,11,97.37,16,2.351077910134336e-08,-0.17863325766887783
192000,11,97.37,32,-6.314451184152858e-10,-0.17863328181113047
192000,11,97.37,64,0.0,-0.17863328117965693
192000,11,127.37,8,-4.9285688419331564e-08,-0.44448234065828274
192000,11,127.37,16,-2.4982170998555375e-08,-0.4444823163547653
192000,11,127.37,32,5.735216745961225e-10,-0.44448229079910107
192000,11,127.37,64,0.0,-0.44448229137262274
192000,11,157.37,8,3.4643136359591153e-08,0.18141326013903836
192000,11,157.37,16,-1.709904040581023e-08,0.1814132083968616
192000,11,157.37,32,-3.5483083138387883e-09,0.18141322194759368
192000,11,157.37,64,0.0,0.181413225495902
192000,11,187.37,8,-1.9368107473383134e-07,0.4417024342485547
192000,11,187.37,16,-4.69935912406072e-09,0.4417026232302419
192000,11,187.37,32,4.001549314125441e-09,0.44170263193115034
192000,11,187.37,64,0.0,0.441702627929601
192000,11,217.37,8,1.4499886447083554e-07,-0.17863313618204302
192000,11,217.37,16,2.3512001234848867e-08,-0.17863325766893468
192000,11,217.37,32,-6.315588052530074e-10,-0.17863328181249472
192000,11,217.37,64,0.0,-0.1786332811809075
192000,11,247.37,8,-4.928682528770878e-08,-0.4444823406583964
192000,11,247.37,16,-2.498390472283063e-08,-0.4444823163555043
192000,11,247.37,32,5.722426976717543e-10,-0.4444822907993853
192000,11,247.37,64,0.0,-0.444482291371628
192000,11,277.37,8,3.464219844317995e-08,0.18141326013915204
192000,11,277.37,16,-1.7100177274187445e-08,0.1814132083967479
192000,11,277.37,32,-3.549615712472587e-09,0.18141322194730947
192000,11,277.37,64,0.0,0.1814132254969536
192000,11,307.37,8,-1.9368195580682368e-07,0.4417024342485547
192000,11,307.37,16,-4.699700184573885e-09,0.44170262323081033
192000,11,307.37,32,4.001833531219745e-09,0.4417026319324009
192000,11,307.37,64,0.0,0.44170262793056736
192000,11,337.37,8,1.4499804024126206e-07,-0.17863313618181564
192000,11,337.37,16,2.351080752305279e-08,-0.17863325766904836
192000,11,337.37,32,-6.314166967058554e-10,-0.17863328181124416
192000,11,337.37,64,0.0,-0.17863328117982746
192000,29,7.37,8,-5.773364364358713e-08,-0.4433196788098712
192000,29,7.37,16,-2.4910235651987023e-08,-0.44331964598646323
192000,29,7.37,32,7.817106961738318e-10,-0.4433196202945169
192000,29,7.37,64,0.0,-0.4433196210762276
192000,29,37.37,8,5.991461193843861e-08,0.18093696296244843
192000,29,37.37,16,-1.6943999980867375e-08,0.18093688610383651
192000,29,37.37,32,-3.389573066669982e-09,0.18093689965826343
192000,29,37.37,64,0.0,0.1809369030478365
