fs_hz,samples,duration_s,seed,truth_deg,kernel_half_width,relative_waveform_l2,propagation_angular_difference_deg,oracle_angular_error_deg,fir_angular_error_deg
48000,2048,0.042666666666666665,29,217.37,32,2.529726405307824e-06,-1.1286930117648808e-05,-0.17819242098926225,-0.17820370791935147
48000,2048,0.042666666666666665,29,217.37,64,1.909058105042187e-06,-5.792430840756424e-06,-0.17819242098926225,-0.17819821342004616
48000,2048,0.042666666666666665,29,247.37,16,1.8624683328630623e-06,-1.0917631698248442e-05,-0.4433360795441672,-0.44334699717586545
48000,2048,0.042666666666666665,29,247.37,32,3.4144488384024556e-06,-4.761282980325632e-06,-0.4433360795441672,-0.44334084082714753
48000,2048,0.042666666666666665,29,247.37,64,2.5768907625507285e-06,-2.4802525047107338e-06,-0.4433360795441672,-0.44333855979670034
48000,2048,0.042666666666666665,29,277.37,16,1.6190176203679761e-06,-2.8745463680479588e-05,0.18095624970851532,0.18092750424489168
48000,2048,0.042666666666666665,29,277.37,32,2.9752118501809414e-06,-1.287407860672829e-05,0.18095624970851532,0.1809433756299086
48000,2048,0.042666666666666665,29,277.37,64,2.2456034077688805e-06,-6.607017780879687e-06,0.18095624970851532,0.18094964269073444
48000,2048,0.042666666666666665,29,307.37,16,1.9272165300397402e-06,-6.6960410549654625e-09,0.4405606334152026,0.4405606267191615
48000,2048,0.042666666666666665,29,307.37,32,3.5232490575660835e-06,-1.401784288646013e-08,0.4405606334152026,0.44056061939733127
48000,2048,0.042666666666666665,29,307.37,64,2.6589863260654287e-06,1.7290204823439126e-08,0.4405606334152026,0.440560650705379
48000,2048,0.042666666666666665,29,337.37,16,1.3767601149908257e-06,-2.5199803047826208e-05,-0.1781924209892054,-0.1782176207922248
48000,2048,0.042666666666666665,29,337.37,32,2.5297264047689998e-06,-1.1286930345022483e-05,-0.1781924209892054,-0.178203707919522
48000,2048,0.042666666666666665,29,337.37,64,1.9090581036479826e-06,-5.792431124973518e-06,-0.1781924209892054,-0.17819821342033038
96000,4096,0.042666666666666665,11,7.37,16,1.3409046952799039e-06,-4.518987938695318e-05,-0.44448811779250263,-0.4445333076718896
96000,4096,0.042666666666666665,11,7.37,32,2.7578025230363123e-06,-1.4751207800145494e-05,-0.44448811779250263,-0.4445028690003028
96000,4096,0.042666666666666665,11,7.37,64,2.3042173850966526e-06,4.499488539977392e-06,-0.44448811779250263,-0.44448361830396266
96000,4096,0.042666666666666665,11,37.37,16,1.8354159394328242e-06,-5.1513619212073536e-05,0.18141417692672235,0.1813626633075387
96000,4096,0.042666666666666665,11,37.37,32,3.7663341914612635e-06,-1.6763801852448523e-05,0.18141417692672235,0.1813974131248699
96000,4096,0.042666666666666665,11,37.37,64,3.1467360371480165e-06,5.114221153235121e-06,0.18141417692672235,0.18141929114787558
96000,4096,0.042666666666666665,11,67.37,16,5.811228181270826e-07,-1.4894068669946137e-05,0.44170620463756904,0.4416913105688991
96000,4096,0.042666666666666665,11,67.37,32,1.1966540118281378e-06,-4.873174816566461e-06,0.44170620463756904,0.4417013314627525
96000,4096,0.042666666666666665,11,67.37,64,9.987393746912403e-07,1.4766274603061902e-06,0.44170620463756904,0.44170768126502935
96000,4096,0.042666666666666665,11,97.37,16,1.5927624544654895e-06,-3.63075122322698e-06,-0.1786362350638342,-0.17863986581505742
96000,4096,0.042666666666666665,11,97.37,32,3.27903489559644e-06,-1.1824721468656207e-06,-0.1786362350638342,-0.17863741753598106
96000,4096,0.042666666666666665,11,97.37,64,2.733619455707108e-06,3.7409250808195793e-07,-0.1786362350638342,-0.1786358609713261
96000,4096,0.042666666666666665,11,127.37,16,1.3409046952799039e-06,-4.518987930168805e-05,-0.44448811779250263,-0.4445333076718043
96000,4096,0.042666666666666665,11,127.37,32,2.757802523036312e-06,-1.4751207828567203e-05,-0.44448811779250263,-0.4445028690003312
96000,4096,0.042666666666666665,11,127.37,64,2.3042173850966526e-06,4.499488511555683e-06,-0.44448811779250263,-0.4444836183039911
96000,4096,0.042666666666666665,11,157.37,16,1.8354159394328242e-06,-5.151361898469986e-05,0.18141417692663708,0.18136266330765238
96000,4096,0.042666666666666665,11,157.37,32,3.7663341914612635e-06,-1.6763801738761686e-05,0.18141417692663708,0.18139741312489832
96000,4096,0.042666666666666665,11,157.37,64,3.1467360371480165e-06,5.114221266921959e-06,0.18141417692663708,0.181419291147904
96000,4096,0.042666666666666665,11,187.37,16,5.811228181270826e-07,-1.489406852783759e-05,0.4417062046375122,0.44169131056895594
96000,4096,0.042666666666666665,11,187.37,32,1.1966540118281376e-06,-4.873174788144752e-06,0.4417062046375122,0.44170133146269563
96000,4096,0.042666666666666665,11,187.37,64,9.987393746912403e-07,1.4766276024147373e-06,0.4417062046375122,0.4417076812650862
96000,4096,0.042666666666666665,11,217.37,16,1.5927624557230846e-06,-3.6307510526967235e-06,-0.17863623506389104,-0.17863986581494373
96000,4096,0.042666666666666665,11,217.37,32,3.2790348954161993e-06,-1.1824718910702359e-06,-0.17863623506389104,-0.17863741753581053
96000,4096,0.042666666666666665,11,217.37,64,2.7336194551465387e-06,3.7409290598588996e-07,-0.17863623506389104,-0.17863586097098505
96000,4096,0.042666666666666665,11,247.37,16,1.3409046912001485e-06,-4.518987901747096e-05,-0.4444881177926163,-0.44453330767157695
96000,4096,0.042666666666666665,11,247.37,32,2.757802522386498e-06,-1.47512075159284e-05,-0.4444881177926163,-0.44450286900013225
96000,4096,0.042666666666666665,11,247.37,64,2.3042173862372667e-06,4.499488852616196e-06,-0.4444881177926163,-0.44448361830370686
96000,4096,0.042666666666666665,11,277.37,16,1.8354159372893453e-06,-5.151361892785644e-05,0.18141417692663708,0.18136266330770923
